Training score,Validation score,Testing score,Task,Dataset,Network,Method,p,q,gamma
1.8031469878977475,0.5784263081249705,-0.23936859819314094,kidney_GO:0001822,GOBP-tissue,GTExCoExp-blood,Node2vec,100.0,0.01,0
1.6003211641094823,0.00904818006878739,0.12151006089940894,muscle_GO:0003012,GOBP-tissue,GTExCoExp-blood,Node2vec,100.0,0.01,0
1.612983915464547,-0.15895715100364838,0.13858197186777757,muscle_GO:0006936,GOBP-tissue,GTExCoExp-blood,Node2vec,100.0,0.01,0
1.2971746751032351,0.37335342119780285,0.2702251326761434,muscle_GO:0006937,GOBP-tissue,GTExCoExp-blood,Node2vec,100.0,0.01,0
0.916216742489024,0.42559811684447696,2.394801910201069,muscle_GO:0016202,GOBP-tissue,GTExCoExp-blood,Node2vec,100.0,0.01,0
0.916216742489024,0.42559811684447696,2.394801910201069,muscle_GO:0048634,GOBP-tissue,GTExCoExp-blood,Node2vec,100.0,0.01,0
0.6919247787646945,0.41761870646948823,2.284937179567678,muscle_GO:0051147,GOBP-tissue,GTExCoExp-blood,Node2vec,100.0,0.01,0
0.8660485012324737,-0.3017974533996716,-0.19896047621810073,muscle_GO:0090257,GOBP-tissue,GTExCoExp-blood,Node2vec,100.0,0.01,0
0.6923193910199015,-0.08559042558031035,-0.12545269431965275,blood_GO:0001525,GOBP-tissue,GTExCoExp-blood,Node2vec,10.0,0.01,0
0.9370101203905699,0.2289772771876644,0.462263488281022,blood_GO:0001568,GOBP-tissue,GTExCoExp-blood,Node2vec,10.0,0.01,0
0.934675735444111,0.608637407188287,1.0274954808344399,blood_GO:0007596,GOBP-tissue,GTExCoExp-blood,Node2vec,10.0,0.01,0
0.5763037377106235,0.5298667406987421,0.3951894693592122,blood_GO:0030098,GOBP-tissue,GTExCoExp-blood,Node2vec,10.0,0.01,0
0.5082229022962144,0.7236483355051617,0.3331167353125824,blood_GO:0030099,GOBP-tissue,GTExCoExp-blood,Node2vec,10.0,0.01,0
0.5498462631745353,0.5817714287414694,0.3854635059441432,blood_GO:0030168,GOBP-tissue,GTExCoExp-blood,Node2vec,10.0,0.01,0
0.9739115170776736,0.025246341270844855,-0.38797866020638283,blood_GO:0045637,GOBP-tissue,GTExCoExp-blood,Node2vec,10.0,0.01,0
1.1244557351996514,-0.1506930895500289,0.42044978093579516,blood_GO:0045638,GOBP-tissue,GTExCoExp-blood,Node2vec,10.0,0.01,0
1.0028844617783428,0.4723920562927346,0.02942546229235429,blood_GO:0045639,GOBP-tissue,GTExCoExp-blood,Node2vec,10.0,0.01,0
1.322166767233892,0.2156481357637451,0.7379819722433157,blood_GO:0045765,GOBP-tissue,GTExCoExp-blood,Node2vec,10.0,0.01,0
1.591672354058716,1.2863640441488264,1.0481359506655161,blood_GO:0045766,GOBP-tissue,GTExCoExp-blood,Node2vec,10.0,0.01,0
0.45534227858444604,0.9071613955682918,0.20419789184322298,blood_GO:0070486,GOBP-tissue,GTExCoExp-blood,Node2vec,10.0,0.01,0
0.7402308290661677,0.3652791565141019,0.16547864977443882,blood_vessel_GO:0001525,GOBP-tissue,GTExCoExp-blood,Node2vec,10.0,0.01,0
0.6318977937993504,-0.1497526932946145,0.7891369966387785,blood_vessel_GO:0045765,GOBP-tissue,GTExCoExp-blood,Node2vec,10.0,0.01,0
0.6845759796025449,0.026174535499703486,0.698537613780943,brain_GO:0007420,GOBP-tissue,GTExCoExp-blood,Node2vec,10.0,0.01,0
1.1597126082054237,0.24335623072644674,0.5666605829876719,heart_GO:0007507,GOBP-tissue,GTExCoExp-blood,Node2vec,10.0,0.01,0
0.5152998701420548,0.6985250164432604,1.0002544112798513,heart_GO:0008016,GOBP-tissue,GTExCoExp-blood,Node2vec,10.0,0.01,0
1.7316439963153423,1.0698755055780156,0.18607098524609103,kidney_GO:0001822,GOBP-tissue,GTExCoExp-blood,Node2vec,10.0,0.01,0
0.7310231517416048,-0.17199574567352915,0.5333105971738017,muscle_GO:0003012,GOBP-tissue,GTExCoExp-blood,Node2vec,10.0,0.01,0
1.1936540393901476,-0.16813951257066864,0.4798941945540497,muscle_GO:0006936,GOBP-tissue,GTExCoExp-blood,Node2vec,10.0,0.01,0
1.2804529509945435,0.5000174448775706,0.9889435545852173,muscle_GO:0006937,GOBP-tissue,GTExCoExp-blood,Node2vec,10.0,0.01,0
0.6357106100676684,0.9125543071594653,0.20476602888472864,muscle_GO:0016202,GOBP-tissue,GTExCoExp-blood,Node2vec,10.0,0.01,0
0.6357106100676684,0.9125543071594653,0.20476602888472864,muscle_GO:0048634,GOBP-tissue,GTExCoExp-blood,Node2vec,10.0,0.01,0
0.6092990826723481,0.6473463336689077,3.0920411049575933,muscle_GO:0051147,GOBP-tissue,GTExCoExp-blood,Node2vec,10.0,0.01,0
0.8335919768921224,-0.4348952865328721,0.024947587676283838,muscle_GO:0090257,GOBP-tissue,GTExCoExp-blood,Node2vec,10.0,0.01,0
0.4772084724889141,0.15062669382160224,0.4110908224249997,blood_GO:0001525,GOBP-tissue,GTExCoExp-blood,Node2vec,1.0,0.01,0
2.154771207061993,-0.011794353224173592,-0.3177152157397654,blood_GO:0001568,GOBP-tissue,GTExCoExp-blood,Node2vec,1.0,0.01,0
0.9725946129992111,0.11565616922869437,0.4963803902793105,blood_GO:0007596,GOBP-tissue,GTExCoExp-blood,Node2vec,1.0,0.01,0
0.4868219500054993,0.7067508005613781,0.5304440649413724,blood_GO:0030098,GOBP-tissue,GTExCoExp-blood,Node2vec,1.0,0.01,0
0.4241088436540593,0.5338482172774337,0.4409349564988393,blood_GO:0030099,GOBP-tissue,GTExCoExp-blood,Node2vec,1.0,0.01,0
0.661036021753711,0.49062453183174015,0.135363161173657,blood_GO:0030168,GOBP-tissue,GTExCoExp-blood,Node2vec,1.0,0.01,0
0.8357676629555598,0.17757818223865632,0.25410231051048643,blood_GO:0045637,GOBP-tissue,GTExCoExp-blood,Node2vec,1.0,0.01,0
0.6988272551912023,-0.23085824981125155,0.41337424253607524,blood_GO:0045638,GOBP-tissue,GTExCoExp-blood,Node2vec,1.0,0.01,0
