Training score,Testing score,Task,Network,Method,q
0.9472527472527473,0.8352061807763344,cluster,K3L2c1,Node2vec+,0.5
0.9159340659340659,0.8512159295246041,cluster,K3L2c1,Node2vec+,0.5
0.9736263736263737,0.8845166095411693,cluster,K3L2c1,Node2vec+,0.5
0.9472527472527473,0.841157515201484,cluster,K3L2c1,Node2vec+,0.5
0.9472527472527473,0.8236722051199483,cluster,K3L2c1,Node2vec+,0.5
0.9131868131868133,0.7935950822589805,cluster,K3L2c1,Node2vec+,0.5
0.9472527472527473,0.9105937967172578,cluster,K3L2c1,Node2vec+,0.5
0.9736263736263736,0.8753789803251878,cluster,K3L2c1,Node2vec+,0.5
0.9395604395604397,0.840575303380249,cluster,K3L2c1,Node2vec+,0.5
0.27692307692307694,0.2687793427230047,level,K3L2c1,Node2vec+,0.5
0.28124999999999994,0.2902680882804616,level,K3L2c1,Node2vec+,0.5
0.2727272727272727,0.27672955974842767,level,K3L2c1,Node2vec+,0.5
0.27692307692307694,0.27364864864864863,level,K3L2c1,Node2vec+,0.5
0.27692307692307694,0.36030891787527747,level,K3L2c1,Node2vec+,0.5
0.4435897435897436,0.3066951058861575,level,K3L2c1,Node2vec+,0.5
0.2857142857142857,0.27931034482758627,level,K3L2c1,Node2vec+,0.5
0.27692307692307694,0.3561231864896786,level,K3L2c1,Node2vec+,0.5
0.2727272727272727,0.2755102040816327,level,K3L2c1,Node2vec+,0.5
0.2727272727272727,0.296793167351543,level,K3L2c1,Node2vec+,0.5
1.0,1.0,cluster,K3L2c1,Node2vec+,100.0
1.0,1.0,cluster,K3L2c1,Node2vec+,100.0
1.0,1.0,cluster,K3L2c1,Node2vec+,100.0
1.0,1.0,cluster,K3L2c1,Node2vec+,100.0
1.0,1.0,cluster,K3L2c1,Node2vec+,100.0
1.0,1.0,cluster,K3L2c1,Node2vec+,100.0
1.0,0.9971500197915293,cluster,K3L2c1,Node2vec+,100.0
1.0,1.0,cluster,K3L2c1,Node2vec+,100.0
1.0,1.0,cluster,K3L2c1,Node2vec+,100.0
1.0,0.9971500197915293,cluster,K3L2c1,Node2vec+,100.0
1.0,0.9972451439284757,level,K3L2c1,Node2vec+,100.0
1.0,0.9918690005646528,level,K3L2c1,Node2vec+,100.0
1.0,0.9889583659501252,level,K3L2c1,Node2vec+,100.0
1.0,0.9751195775449734,level,K3L2c1,Node2vec+,100.0
1.0,0.9889110027896678,level,K3L2c1,Node2vec+,100.0
1.0,0.9806264845130349,level,K3L2c1,Node2vec+,100.0
1.0,0.9862039803862631,level,K3L2c1,Node2vec+,100.0
1.0,0.9889110027896678,level,K3L2c1,Node2vec+,100.0
1.0,0.9916657020488483,level,K3L2c1,Node2vec+,100.0
1.0,0.9972677250015812,level,K3L2c1,Node2vec+,100.0
1.0,1.0,cluster,K3L2c1,Node2vec+,10.0
1.0,1.0,cluster,K3L2c1,Node2vec+,10.0
1.0,1.0,cluster,K3L2c1,Node2vec+,10.0
1.0,0.9971500197915293,cluster,K3L2c1,Node2vec+,10.0
1.0,1.0,cluster,K3L2c1,Node2vec+,10.0
1.0,1.0,cluster,K3L2c1,Node2vec+,10.0
1.0,1.0,cluster,K3L2c1,Node2vec+,10.0
1.0,1.0,cluster,K3L2c1,Node2vec+,10.0
1.0,1.0,cluster,K3L2c1,Node2vec+,10.0
1.0,1.0,cluster,K3L2c1,Node2vec+,10.0
1.0,0.9889110027896678,level,K3L2c1,Node2vec+,10.0
1.0,0.9944672131147542,level,K3L2c1,Node2vec+,10.0
0.974331550802139,0.9747836554197774,level,K3L2c1,Node2vec+,10.0
1.0,0.9831144465290805,level,K3L2c1,Node2vec+,10.0
1.0,0.9944672131147542,level,K3L2c1,Node2vec+,10.0
1.0,0.9745599685925538,level,K3L2c1,Node2vec+,10.0
1.0,0.9890260631001372,level,K3L2c1,Node2vec+,10.0
1.0,0.9917354317854272,level,K3L2c1,Node2vec+,10.0
1.0,0.9892016197570364,level,K3L2c1,Node2vec+,10.0
1.0,0.9945130315500686,level,K3L2c1,Node2vec+,10.0
0.915934065934066,0.7900416714455497,cluster,K3L2c1,Node2vec+,1.0
0.920879120879121,0.7972813819870742,cluster,K3L2c1,Node2vec+,1.0
0.9736263736263736,0.8141598282523644,cluster,K3L2c1,Node2vec+,1.0
0.9736263736263737,0.8271955789484996,cluster,K3L2c1,Node2vec+,1.0
0.9131868131868134,0.7583169836337711,cluster,K3L2c1,Node2vec+,1.0
0.9736263736263737,0.8240802641688677,cluster,K3L2c1,Node2vec+,1.0
0.8351648351648352,0.7735900976416829,cluster,K3L2c1,Node2vec+,1.0
0.920879120879121,0.8115043650311979,cluster,K3L2c1,Node2vec+,1.0
1.0,0.8207617746267429,cluster,K3L2c1,Node2vec+,1.0
0.8554945054945053,0.8022789073012098,cluster,K3L2c1,Node2vec+,1.0
0.2727272727272727,0.2727272727272727,level,K3L2c1,Node2vec+,1.0
0.27692307692307694,0.27645051194539255,level,K3L2c1,Node2vec+,1.0
0.2727272727272727,0.26364692218350755,level,K3L2c1,Node2vec+,1.0
