Training score,Validation score,Testing score,Task,Dataset,Network,Method,p,q,gamma
0.8398025925139514,0.6852853442422675,1.7785045008723617,blood_GO:0045766,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,100.0,1.0
1.081382489606325,1.4042140893709179,1.4243194570539583,blood_GO:0070486,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,100.0,1.0
1.0970017432218042,0.8839446421487298,0.4905659225758951,blood_vessel_GO:0001525,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,100.0,1.0
0.5553906157130195,0.23978020043392304,1.664429307816236,blood_vessel_GO:0045765,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,100.0,1.0
0.8980269735753179,0.8741286697052654,0.40585740108969,brain_GO:0007420,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,100.0,1.0
0.9318840879046054,0.8960190519237662,0.5836171148272409,heart_GO:0007507,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,100.0,1.0
1.417092090310041,0.9730160983289047,0.7484279151023909,heart_GO:0008016,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,100.0,1.0
2.002043126528354,0.3325779797818667,0.6820212384410183,kidney_GO:0001822,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,100.0,1.0
1.1028118950917192,0.5188225312848278,0.15943289090020973,muscle_GO:0003012,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,100.0,1.0
1.3578471698298125,0.7478229686875094,0.20566807906841378,muscle_GO:0006936,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,100.0,1.0
1.3286929788078765,1.2361288430862285,0.3760269384220103,muscle_GO:0006937,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,100.0,1.0
0.7796927106914703,0.3163755464749023,0.47474662226248326,muscle_GO:0016202,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,100.0,1.0
0.7796927106914703,0.3163755464749023,0.47474662226248326,muscle_GO:0048634,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,100.0,1.0
1.0591483901693413,0.39749275620797947,0.42357622612290013,muscle_GO:0051147,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,100.0,1.0
0.9945837790959389,0.5189472408506082,0.1299191925410811,muscle_GO:0090257,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,100.0,1.0
0.7109574050407106,0.5627457387950732,0.1599346005216499,blood_GO:0001525,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,10.0,1.0
0.7411172282327602,0.23961449108293442,0.8914062487932577,blood_GO:0001568,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,10.0,1.0
1.2745588725232544,0.23041594558771097,0.24532482735094496,blood_GO:0007596,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,10.0,1.0
1.2151462499900745,1.2028111679586568,0.6923376986570273,blood_GO:0030098,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,10.0,1.0
0.8198472842065913,0.151641588360099,0.9131285094148203,blood_GO:0030099,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,10.0,1.0
0.933428930984034,-0.13680186012616175,3.341293576630849,blood_GO:0030168,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,10.0,1.0
0.6408988039420929,0.01878941816080423,0.7607980113547632,blood_GO:0045637,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,10.0,1.0
0.8826681363819742,-0.1566627915073834,0.5102791330841407,blood_GO:0045638,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,10.0,1.0
0.8108831114471898,0.773622386552759,2.6214813915223334,blood_GO:0045639,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,10.0,1.0
0.6519543029608477,0.8228703202353412,1.2329666572551163,blood_GO:0045765,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,10.0,1.0
0.8809269204039207,1.0097330847488784,0.8918183075629338,blood_GO:0045766,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,10.0,1.0
1.1065282588555414,1.415194921280931,1.048545208701839,blood_GO:0070486,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,10.0,1.0
0.8942181962464942,0.8282946171629577,0.21496349363282358,blood_vessel_GO:0001525,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,10.0,1.0
0.5077731277484636,0.09280951093016639,1.4549909189168209,blood_vessel_GO:0045765,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,10.0,1.0
1.0698912725834864,0.6747050407862225,0.33878837198008577,brain_GO:0007420,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,10.0,1.0
1.0089497571272126,1.0437177845485186,0.5394063703433176,heart_GO:0007507,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,10.0,1.0
1.1970854399654636,1.148776874896613,0.7207183467133067,heart_GO:0008016,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,10.0,1.0
1.5102797036899123,0.48905327885555894,0.37852574338547706,kidney_GO:0001822,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,10.0,1.0
